valor_origen,valor_canonico,accion,confianza,nota
Altos De Pemehue,Reserva Nacional Altos de Pemehue,prefijo,alta,Se antepone la categoría y se corrige «De»→«de».
Federico Albert,Reserva Nacional Federico Albert,prefijo,alta,Se antepone la categoría.
Laguna De Torca,Reserva Nacional Laguna de Torca,prefijo,alta,Se antepone la categoría y se corrige «De»→«de».
Laguna Del Laja,Parque Nacional Laguna del Laja,prefijo,alta,Se antepone la categoría y se corrige «Del»→«del».
Llanos de Challe,Parque Nacional Llanos de Challe,prefijo,alta,Se antepone la categoría.
Los Bellotos Del Melado,Reserva Nacional Los Bellotos del Melado,prefijo,alta,Se antepone la categoría y se corrige «Del»→«del».
Los Ruiles,Reserva Nacional Los Ruiles,prefijo,alta,Se antepone la categoría.
Mon. Natural Islotes de Puñihuil,Monumento Natural Islotes de Puñihuil,prefijo,alta,Se desabrevia la categoría.
Monumento Natural Cerro Nielol,Monumento Natural Cerro Nielol,sin_cambio,alta,Sin observaciones
Monumento Natural Cinco Hermanas,Monumento Natural Cinco Hermanas,sin_cambio,alta,Sin observaciones
Monumento Natural Contulmo,Monumento Natural Contulmo,sin_cambio,alta,Sin observaciones
Monumento Natural Cueva del Milodón,Monumento Natural Cueva del Milodón,sin_cambio,alta,Sin observaciones
Monumento Natural Dos Lagunas,Monumento Natural Dos Lagunas,sin_cambio,alta,Sin observaciones
Monumento Natural El Morado,Monumento Natural El Morado,sin_cambio,alta,Sin observaciones
Monumento Natural Isla Cachagua,Monumento Natural Isla Cachagua,sin_cambio,alta,Sin observaciones
Monumento Natural La Portada,Monumento Natural La Portada,sin_cambio,alta,Sin observaciones
Monumento Natural Laguna de los Cisnes,Monumento Natural Laguna de los Cisnes,sin_cambio,alta,Sin observaciones
Monumento Natural Los Pinguinos,Monumento Natural Los Pingüinos,ortografia,alta,Diéresis.
Monumento Natural Paposo Norte,Monumento Natural Paposo Norte,sin_cambio,alta,Sin observaciones
Monumentro Nacional Lahuen Ñadi,Monumento Natural Lahuen Ñadi,ortografia,alta,Error de tipeo «Monumentro» y categoría equivocada en el rótulo: el manifiesto ya la clasifica como Monumento Natural.
Nahuelbuta,Parque Nacional Nahuelbuta,fusion,alta,"Se une con «Parque Nacional Nahuelbuta». Total real 6.647,12 ha en 295 polígonos."
Nevado Tres Cruces,Parque Nacional Nevado Tres Cruces,prefijo,alta,Se antepone la categoría.
Nonguen,Parque Nacional Nonguén,prefijo,alta,Se antepone la categoría y se repone la tilde.
Nuble,Reserva Nacional Ñuble,fusion,alta,"Se une con «Reserva Nacional Nuble». Total real 74.437,97 ha en 2.634 polígonos."
Pan de Azúcar,Parque Nacional Pan de Azúcar,fusion,alta,"Se une con «Parque Nacional Pan de Azúcar». Total real 44.558,70 ha en 310 polígonos."
Parque Nacional Alberto de Agostini,Parque Nacional Alberto de Agostini,sin_cambio,alta,Sin observaciones
Parque Nacional Alerce Andino,Parque Nacional Alerce Andino,sin_cambio,alta,Sin observaciones
Parque Nacional Alerce Costero,Parque Nacional Alerce Costero,sin_cambio,alta,Sin observaciones
Parque Nacional Bernardo OHiggins,Parque Nacional Bernardo O'Higgins,fusion,alta,"Se une con «Bernardo Ohiggins». Misma categoría. Total real 3.811.947,91 ha en 85.684 polígonos."
Parque Nacional Bernardo Ohiggins,Parque Nacional Bernardo O'Higgins,fusion,alta,Se une con «Bernardo OHiggins». Misma categoría.
Parque Nacional Cabo de Hornos,Parque Nacional Cabo de Hornos,sin_cambio,alta,Sin observaciones
Parque Nacional Cerro Castillo,Parque Nacional Cerro Castillo,sin_cambio,alta,Sin observaciones
Parque Nacional Chiloe,Parque Nacional Chiloé,ortografia,alta,Tilde.
Parque Nacional Conguillio,Parque Nacional Conguillío,ortografia,alta,Tilde.
Parque Nacional Corcovado,Parque Nacional Corcovado,sin_cambio,alta,Sin observaciones
Parque Nacional Hornopiren,Parque Nacional Hornopirén,ortografia,alta,Tilde.
Parque Nacional Huerquehue,Parque Nacional Huerquehue,sin_cambio,alta,Sin observaciones
Parque Nacional Isla Guamblin,Parque Nacional Isla Guamblín,ortografia,alta,Tilde.
Parque Nacional Isla Magdalena maritimo,Parque Nacional Isla Magdalena (sector marítimo),ortografia,media,Tilde y el calificador de sector entre paréntesis.
