valor_origen,valor_canonico,accion,confianza,nota
Alerce,Alerce,sin_cambio,alta,Sin observaciones
Algarrobo,Algarrobo,sin_cambio,alta,Sin observaciones
Belloto o Lingue,Belloto o Lingue,sin_cambio,alta,Sin observaciones
Bosques Riparios,Bosques Riparios,sin_cambio,alta,Sin observaciones
Ciprés de la Cordillera,Ciprés de la Cordillera,sin_cambio,alta,Sin observaciones
Ciprés de las Guaitecas,Ciprés de las Guaitecas,sin_cambio,alta,Sin observaciones
Coihue,Coihue,sin_cambio,alta,Sin observaciones
Coihue - Raulí - Tepa,Coihue-Raulí-Tepa,fusion,alta,"La grafía oficial del tipo forestal es «Coihue-Raulí-Tepa». Mismo tipo forestal (10). Total real 141.296,26 ha."
Coihue - Tepa,Coihue - Tepa,sin_cambio,alta,Sin observaciones
Coihue común,Coihue común,sin_cambio,alta,Sin observaciones
Coihue de Chiloé,Coihue de Chiloé,sin_cambio,alta,Sin observaciones
Coihue de Magallanes,Coihue de Magallanes,sin_cambio,alta,Sin observaciones
Coihue-Rauli-Tepa,Coihue-Raulí-Tepa,fusion,alta,"Misma clase, sin tilde. Mismo tipo forestal (10)."
Esclerófilo,Esclerófilo,sin_cambio,alta,Sin observaciones
Espino,Espino,sin_cambio,alta,Sin observaciones
Frangel,Frangel,sin_cambio,alta,Sin observaciones
Keñoa,Keñoa,sin_cambio,alta,Sin observaciones
Lenga,Lenga,sin_cambio,alta,Sin observaciones
Lenga - Coihue Común,Lenga - Coihue Común,sin_cambio,media,Convive con «Coihue común» en minúscula; revisar criterio de mayúsculas.
Lenga - Coihue de Magallanes,Lenga - Coihue de Magallanes,sin_cambio,alta,Sin observaciones
Mirtáceas,Mirtáceas,sin_cambio,alta,Sin observaciones
No Aplica,No Aplica,sin_cambio,alta,Sin observaciones
Olivillo del norte,Olivillo del Norte,ortografia,media,Consistencia de mayúsculas con «Roble del Norte».
Peumo - Quillay - Litre,Peumo - Quillay - Litre,sin_cambio,alta,No hay tipo forestal homónimo; se conserva la variante mayoritaria. Absorbe «Peumo quillay litre».
Peumo quillay litre,Peumo - Quillay - Litre,fusion,alta,"Misma clase, en minúsculas y sin separadores. Mismo tipo forestal (11). Total real 927.096,94 ha."
Renoval de Canelo,Renoval de Canelo,sin_cambio,alta,Sin observaciones
Roble,Roble,sin_cambio,alta,Sin observaciones
Roble - Hualo,Roble-Hualo,fusion,alta,"La grafía oficial del tipo forestal es «Roble-Hualo». Mismo tipo forestal (08). Total real 184.851,95 ha."
Roble - Raulí - Coihue,Roble-Raulí-Coihue,fusion,alta,"Misma clase, escrita con espacios. Mismo tipo forestal (09). Total real 281.867,12 ha."
Roble del Norte,Roble del Norte,sin_cambio,alta,Sin observaciones
Roble-Hualo,Roble-Hualo,sin_cambio,alta,Coincide con la grafía oficial del tipo forestal.
Roble-Raulí-Coihue,Roble-Raulí-Coihue,sin_cambio,alta,Coincide con la grafía oficial del tipo forestal. Absorbe «Roble - Raulí - Coihue».
Siempreverde,Siempreverde,sin_cambio,alta,Sin observaciones
Sin clasificar,Sin clasificar,sin_cambio,alta,Sin observaciones
Tamarugo,Tamarugo,sin_cambio,alta,Sin observaciones
Tepú,Tepú,sin_cambio,alta,Sin observaciones
Ñirre,Ñirre,sin_cambio,alta,Sin observaciones
