cod_origen,cod_canonico,especie_origen,especie_canonica,cientifico_origen,cientifico_canonico,genero_canonico,accion,confianza,nota
AB,AB,abeto,abeto,Abies sp.,Abies sp.,Abies,sin_cambio,alta,Sin observaciones
CI,CI,acacia,acacia,Acacia sp.,Acacia sp.,Acacia,sin_cambio,alta,Sin observaciones
AE,AE,acacia azul,acacia azul,Acacia saligna,Acacia saligna,Acacia,sin_cambio,alta,Sin observaciones
ai,ai,Acaena integerrima,Acaena integerrima,Acaena integerrima,Acaena integerrima,Acaena,sin_cambio,alta,Sin observaciones
a51,a51,Acaena patagonica,Acaena patagonica,Acaena patagonica,Acaena patagonica,Acaena,sin_cambio,alta,Sin observaciones
ac2,ac2,Adenocaulon chilense,Adenocaulon chilense,Adenocaulon chilense,Adenocaulon chilense,Adenocaulon,sin_cambio,alta,Sin observaciones
Zb,Zb,Adesmia aphylla,Adesmia aphylla,Adesmia aphylla,Adesmia aphylla,Adesmia,sin_cambio,alta,Sin observaciones
Dy,Dy,Adesmia argyrophylla,Adesmia argyrophylla,Adesmia argyrophylla,Adesmia argyrophylla,Adesmia,sin_cambio,alta,Sin observaciones
At,At,Adesmia atacamensis,Adesmia atacamensis,Adesmia atacamensis,Adesmia atacamensis,Adesmia,sin_cambio,alta,Sin observaciones
Ai,Ai,Adesmia echinus,Adesmia echinus,Adesmia echinus,Adesmia echinus,Adesmia,sin_cambio,alta,Sin observaciones
dm,dm,Adesmia eremophila,Adesmia eremophila,Adesmia eremophila,Adesmia eremophila,Adesmia,sin_cambio,alta,Sin observaciones
A30,A30,Adesmia erinacea,Adesmia erinacea,Adesmia erinacea,Adesmia erinacea,Adesmia,sin_cambio,alta,Sin observaciones
Di,Di,Adesmia gracilis,Adesmia gracilis,Adesmia gracilis,Adesmia gracilis,Adesmia,sin_cambio,alta,Sin observaciones
Dk,Dk,Adesmia kingii,Adesmia kingii,Adesmia kingii,Adesmia kingii,Adesmia,sin_cambio,alta,Sin observaciones
Zl,Zl,Adesmia littoralis,Adesmia littoralis,Adesmia littoralis,Adesmia littoralis,Adesmia,sin_cambio,alta,Sin observaciones
A18,A18,Adesmia monosperma,Adesmia monosperma,Adesmia monosperma,Adesmia monosperma,Adesmia,sin_cambio,alta,Sin observaciones
